race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202006010907,11,4,8,2016104218,牝4,54,05517,1:12.7,クビ,**,12-13,37.3,12.5,5,466(+10),,01114,506800
202006010907,12,6,11,2014100779,牡6,57,00733,1:12.7,ハナ,**,2-2,38.4,4.9,2,502(-2),,01134,059803
202006010907,13,8,15,2016102369,牝4,54,01085,1:12.8,1/2,**,7-8,37.8,14.7,7,486(+2),,01147,791800
202006010907,14,1,2,2016101398,牡4,56,01118,1:12.9,クビ,**,7-8,37.8,253.3,15,484(+3),,01096,007803
202006010907,15,4,7,2016102949,牝4,53,01158,1:12.9,ハナ,**,16-16,36.8,49.8,11,462(+2),,01056,251033
202006010907,16,7,13,2016105429,牝4,54,00422,1:13.8,5,**,7-13,38.8,153.0,14,426(-13),,01063,929006
202006010908,1,2,3,2016100106,牡4,56,00684,1:54.0,,**,1-1-1-1,38.7,11.1,6,492(-4),,01093,336030
202006010908,2,5,8,2015105923,牡5,57,01150,1:54.3,1.3/4,**,2-2-2-2,38.9,14.6,7,478(0),,01020,265006
202006010908,3,1,1,2015104149,牡5,57,05575,1:54.5,1,**,8-6-7-4,38.7,8.1,3,488(-2),,01054,808800
202006010908,4,2,2,2014103928,牡6,57,01075,1:54.6,1/2,**,4-3-3-3,39.0,3.6,1,488(0),,00405,527030
202006010908,5,3,4,2015106040,牡5,57,01077,1:54.6,クビ,**,13-11-12-6,38.5,22.5,10,492(-4),,01106,535006
202006010908,6,3,5,2016104149,牡4,56,00689,1:54.7,1/2,**,6-6-7-6,38.9,10.2,5,494(+14),,01008,363030
202006010908,7,7,12,2016100279,セ4,56,01096,1:55.1,2.1/2,**,9-9-7-9,39.3,19.2,8,450(0),,01048,851009
202006010908,8,8,14,2015102743,牡5,57,01085,1:55.5,2.1/2,**,15-15-15-14,38.4,22.9,11,452(0),,01031,970006
